Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
52114 Ashley Branch Suite 134,COMMERCIAL B,497,52114 Ashley Branch Suite 134 LAND TR Fee Owner,"$467,966 ","$45,428 ",$0 ,$0.00 ,$0.00 ,$0.00 
067 Shawn Lake Apt. 333,COMMERCIAL B,620,067 Shawn Lake Apt. 333 LAND TR Fee Owner,"$269,503 ","$99,665 ",$0 ,$0.00 ,$0.00 ,$0.00 
1142 Angela Loaf Apt. 633,COMMERCIAL B,382,1142 Angela Loaf Apt. 633 LAND TR Fee Owner,"$824,710 ","$36,386 ",$0 ,$0.00 ,$0.00 ,$0.00 
614 Tom Creek,COMMERCIAL B,495,614 Tom Creek LAND TR Fee Owner,"$484,957 ","$29,423 ",$0 ,$0.00 ,$0.00 ,$0.00 
639 Kenneth Plains,COMMERCIAL B,286,639 Kenneth Plains LAND TR Fee Owner,"$351,503 ","$60,697 ",$0 ,$0.00 ,$0.00 ,$0.00 
9549 Cook Ridge,COMMERCIAL A,701,9549 Cook Ridge LAND TR Fee Owner,"$560,548 ","$43,231 ",$0 ,$0.00 ,$0.00 ,$0.00 
20199 Brittany Shoals,RESIDENTIAL,376,20199 Brittany Shoals LAND TR Fee Owner,"$926,923 ","$26,649 ",$0 ,$0.00 ,$0.00 ,$0.00 
550 Cynthia Inlet,COMMERCIAL B,585,550 Cynthia Inlet LAND TR Fee Owner,"$703,835 ","$24,960 ",$0 ,$0.00 ,$0.00 ,$0.00 
123 Steven Fort,COMMERCIAL B,409,123 Steven Fort LAND TR Fee Owner,"$432,449 ","$40,751 ",$0 ,$0.00 ,$0.00 ,$0.00 
405 Samantha Flat Suite 331,COMMERCIAL B,960,405 Samantha Flat Suite 331 LAND TR Fee Owner,"$372,194 ","$78,874 ",$0 ,$0.00 ,$0.00 ,$0.00 
501 May Overpass,COMMERCIAL B,638,501 May Overpass LAND TR Fee Owner,"$827,630 ","$93,061 ",$0 ,$0.00 ,$0.00 ,$0.00 
973 Barbara Valley,COMMERCIAL A,487,973 Barbara Valley LAND TR Fee Owner,"$508,208 ","$37,295 ",$0 ,$0.00 ,$0.00 ,$0.00 
4739 Monica Keys,COMMERCIAL B,1000,4739 Monica Keys LAND TR Fee Owner,"$162,461 ","$57,396 ",$0 ,$0.00 ,$0.00 ,$0.00 
1940 Allison Brooks Apt. 281,RESIDENTIAL,174,1940 Allison Brooks Apt. 281 LAND TR Fee Owner,"$151,605 ","$63,027 ",$0 ,$0.00 ,$0.00 ,$0.00 
07554 Tran Prairie Apt. 668,RESIDENTIAL,880,07554 Tran Prairie Apt. 668 LAND TR Fee Owner,"$980,228 ","$57,620 ",$0 ,$0.00 ,$0.00 ,$0.00 
797 Robin Grove,COMMERCIAL B,556,797 Robin Grove LAND TR Fee Owner,"$724,387 ","$68,416 ",$0 ,$0.00 ,$0.00 ,$0.00 
5883 Jason River,COMMERCIAL A,645,5883 Jason River LAND TR Fee Owner,"$499,383 ","$48,482 ",$0 ,$0.00 ,$0.00 ,$0.00 
9460 Bell Ports Suite 221,RESIDENTIAL,237,9460 Bell Ports Suite 221 LAND TR Fee Owner,"$164,753 ","$76,985 ",$0 ,$0.00 ,$0.00 ,$0.00 
7971 Elizabeth Squares Apt. 984,RESIDENTIAL,704,7971 Elizabeth Squares Apt. 984 LAND TR Fee Owner,"$386,716 ","$33,993 ",$0 ,$0.00 ,$0.00 ,$0.00 
04295 Schultz Radial Apt. 847,COMMERCIAL A,581,04295 Schultz Radial Apt. 847 LAND TR Fee Owner,"$946,320 ","$68,854 ",$0 ,$0.00 ,$0.00 ,$0.00 
53965 Booker Loop,COMMERCIAL A,828,53965 Booker Loop LAND TR Fee Owner,"$611,500 ","$75,179 ",$0 ,$0.00 ,$0.00 ,$0.00 
9305 Mueller Village,COMMERCIAL B,288,9305 Mueller Village LAND TR Fee Owner,"$983,120 ","$54,955 ",$0 ,$0.00 ,$0.00 ,$0.00 
7230 Troy Key Suite 141,RESIDENTIAL,504,7230 Troy Key Suite 141 LAND TR Fee Owner,"$335,631 ","$80,959 ",$0 ,$0.00 ,$0.00 ,$0.00 
478 Mann Gateway,RESIDENTIAL,727,478 Mann Gateway LAND TR Fee Owner,"$947,012 ","$95,594 ",$0 ,$0.00 ,$0.00 ,$0.00 
0467 Corey Pine,COMMERCIAL A,202,0467 Corey Pine LAND TR Fee Owner,"$955,187 ","$56,769 ",$0 ,$0.00 ,$0.00 ,$0.00 
85241 Ferrell Isle Apt. 307,RESIDENTIAL,836,85241 Ferrell Isle Apt. 307 LAND TR Fee Owner,"$315,614 ","$29,752 ",$0 ,$0.00 ,$0.00 ,$0.00 
929 Marisa Brooks,COMMERCIAL B,314,929 Marisa Brooks LAND TR Fee Owner,"$174,240 ","$53,404 ",$0 ,$0.00 ,$0.00 ,$0.00 
7766 Campbell Flat Suite 229,COMMERCIAL B,525,7766 Campbell Flat Suite 229 LAND TR Fee Owner,"$305,137 ","$61,650 ",$0 ,$0.00 ,$0.00 ,$0.00 
8166 John Shore,RESIDENTIAL,433,8166 John Shore LAND TR Fee Owner,"$170,024 ","$86,988 ",$0 ,$0.00 ,$0.00 ,$0.00 
6302 Howard Mews Suite 337,COMMERCIAL B,580,6302 Howard Mews Suite 337 LAND TR Fee Owner,"$936,518 ","$30,316 ",$0 ,$0.00 ,$0.00 ,$0.00 
356 Fuller Grove Apt. 971,COMMERCIAL A,988,356 Fuller Grove Apt. 971 LAND TR Fee Owner,"$476,443 ","$65,453 ",$0 ,$0.00 ,$0.00 ,$0.00 
9149 Thomas Row,COMMERCIAL A,542,9149 Thomas Row LAND TR Fee Owner,"$128,980 ","$59,439 ",$0 ,$0.00 ,$0.00 ,$0.00 
952 Griffith Hills,COMMERCIAL B,642,952 Griffith Hills LAND TR Fee Owner,"$757,004 ","$77,906 ",$0 ,$0.00 ,$0.00 ,$0.00 
3893 Lee Centers,COMMERCIAL A,388,3893 Lee Centers LAND TR Fee Owner,"$653,864 ","$49,208 ",$0 ,$0.00 ,$0.00 ,$0.00 
1275 Conrad Alley Suite 735,RESIDENTIAL,174,1275 Conrad Alley Suite 735 LAND TR Fee Owner,"$361,763 ","$87,832 ",$0 ,$0.00 ,$0.00 ,$0.00 
6871 Diaz Junction,COMMERCIAL B,602,6871 Diaz Junction LAND TR Fee Owner,"$326,162 ","$82,944 ",$0 ,$0.00 ,$0.00 ,$0.00 
5140 Fry Cliff Suite 268,RESIDENTIAL,553,5140 Fry Cliff Suite 268 LAND TR Fee Owner,"$700,228 ","$46,681 ",$0 ,$0.00 ,$0.00 ,$0.00 
70634 Moody Islands,COMMERCIAL B,532,70634 Moody Islands LAND TR Fee Owner,"$743,364 ","$29,923 ",$0 ,$0.00 ,$0.00 ,$0.00 
36957 Erin Ramp Apt. 803,RESIDENTIAL,921,36957 Erin Ramp Apt. 803 LAND TR Fee Owner,"$786,831 ","$54,279 ",$0 ,$0.00 ,$0.00 ,$0.00 
140 Carrie Cape Apt. 805,COMMERCIAL A,645,140 Carrie Cape Apt. 805 LAND TR Fee Owner,"$758,426 ","$39,476 ",$0 ,$0.00 ,$0.00 ,$0.00 
450 Thomas Drives Suite 529,COMMERCIAL B,716,450 Thomas Drives Suite 529 LAND TR Fee Owner,"$476,035 ","$65,288 ",$0 ,$0.00 ,$0.00 ,$0.00 
0845 James Rest Apt. 286,COMMERCIAL A,602,0845 James Rest Apt. 286 LAND TR Fee Owner,"$730,020 ","$48,976 ",$0 ,$0.00 ,$0.00 ,$0.00 
9302 Debbie Extension Apt. 745,RESIDENTIAL,262,9302 Debbie Extension Apt. 745 LAND TR Fee Owner,"$396,659 ","$68,221 ",$0 ,$0.00 ,$0.00 ,$0.00 
00023 Roberts Cliff Apt. 034,RESIDENTIAL,310,00023 Roberts Cliff Apt. 034 LAND TR Fee Owner,"$307,879 ","$14,254 ",$0 ,$0.00 ,$0.00 ,$0.00 
9312 Heather Parkways Apt. 324,RESIDENTIAL,766,9312 Heather Parkways Apt. 324 LAND TR Fee Owner,"$757,472 ","$70,401 ",$0 ,$0.00 ,$0.00 ,$0.00 
1656 Rose Viaduct Apt. 776,COMMERCIAL B,893,1656 Rose Viaduct Apt. 776 LAND TR Fee Owner,"$902,086 ","$14,921 ",$0 ,$0.00 ,$0.00 ,$0.00 
79976 Brooks Tunnel Apt. 865,RESIDENTIAL,726,79976 Brooks Tunnel Apt. 865 LAND TR Fee Owner,"$116,571 ","$50,798 ",$0 ,$0.00 ,$0.00 ,$0.00 
5820 Cooper Junction,COMMERCIAL B,356,5820 Cooper Junction LAND TR Fee Owner,"$301,238 ","$22,984 ",$0 ,$0.00 ,$0.00 ,$0.00 
5559 Olsen Run Suite 887,COMMERCIAL B,136,5559 Olsen Run Suite 887 LAND TR Fee Owner,"$552,990 ","$91,463 ",$0 ,$0.00 ,$0.00 ,$0.00 
97142 Gibson Isle Suite 211,COMMERCIAL A,966,97142 Gibson Isle Suite 211 LAND TR Fee Owner,"$923,498 ","$72,736 ",$0 ,$0.00 ,$0.00 ,$0.00 
4917 Jessica Land Apt. 198,RESIDENTIAL,642,4917 Jessica Land Apt. 198 LAND TR Fee Owner,"$986,740 ","$10,416 ",$0 ,$0.00 ,$0.00 ,$0.00 
14136 Mack Garden Suite 310,COMMERCIAL B,502,14136 Mack Garden Suite 310 LAND TR Fee Owner,"$423,117 ","$59,185 ",$0 ,$0.00 ,$0.00 ,$0.00 
80714 Hudson Drive Apt. 032,COMMERCIAL B,387,80714 Hudson Drive Apt. 032 LAND TR Fee Owner,"$638,152 ","$88,810 ",$0 ,$0.00 ,$0.00 ,$0.00 
703 Tasha Court,COMMERCIAL B,767,703 Tasha Court LAND TR Fee Owner,"$922,794 ","$50,763 ",$0 ,$0.00 ,$0.00 ,$0.00 
065 Acevedo Mount,RESIDENTIAL,965,065 Acevedo Mount LAND TR Fee Owner,"$484,297 ","$23,731 ",$0 ,$0.00 ,$0.00 ,$0.00 
66988 Todd Walks Suite 021,COMMERCIAL A,417,66988 Todd Walks Suite 021 LAND TR Fee Owner,"$737,645 ","$74,423 ",$0 ,$0.00 ,$0.00 ,$0.00 
7029 Weaver Green Suite 322,COMMERCIAL A,494,7029 Weaver Green Suite 322 LAND TR Fee Owner,"$322,255 ","$89,113 ",$0 ,$0.00 ,$0.00 ,$0.00 
543 John Heights Suite 838,RESIDENTIAL,533,543 John Heights Suite 838 LAND TR Fee Owner,"$272,850 ","$84,715 ",$0 ,$0.00 ,$0.00 ,$0.00 
8218 Coleman Ville Suite 645,RESIDENTIAL,138,8218 Coleman Ville Suite 645 LAND TR Fee Owner,"$591,301 ","$33,202 ",$0 ,$0.00 ,$0.00 ,$0.00 
79599 Cook Ramp Apt. 714,RESIDENTIAL,745,79599 Cook Ramp Apt. 714 LAND TR Fee Owner,"$470,512 ","$78,715 ",$0 ,$0.00 ,$0.00 ,$0.00 
3054 Sullivan Heights Suite 252,COMMERCIAL B,731,3054 Sullivan Heights Suite 252 LAND TR Fee Owner,"$999,404 ","$75,574 ",$0 ,$0.00 ,$0.00 ,$0.00 
5070 Kimberly View,COMMERCIAL B,853,5070 Kimberly View LAND TR Fee Owner,"$525,627 ","$48,136 ",$0 ,$0.00 ,$0.00 ,$0.00 
50155 Andrew Causeway Apt. 710,RESIDENTIAL,300,50155 Andrew Causeway Apt. 710 LAND TR Fee Owner,"$177,077 ","$86,106 ",$0 ,$0.00 ,$0.00 ,$0.00 
6611 Everett Cliff,COMMERCIAL B,196,6611 Everett Cliff LAND TR Fee Owner,"$825,422 ","$88,065 ",$0 ,$0.00 ,$0.00 ,$0.00 
4293 Brady Camp,COMMERCIAL A,359,4293 Brady Camp LAND TR Fee Owner,"$962,692 ","$41,351 ",$0 ,$0.00 ,$0.00 ,$0.00 
52703 Galloway Garden,RESIDENTIAL,736,52703 Galloway Garden LAND TR Fee Owner,"$398,312 ","$57,709 ",$0 ,$0.00 ,$0.00 ,$0.00 
658 Smith Stream,RESIDENTIAL,608,658 Smith Stream LAND TR Fee Owner,"$526,845 ","$86,269 ",$0 ,$0.00 ,$0.00 ,$0.00 
71192 Rowland Forks,COMMERCIAL B,772,71192 Rowland Forks LAND TR Fee Owner,"$588,053 ","$43,883 ",$0 ,$0.00 ,$0.00 ,$0.00 
52910 White Light Suite 565,RESIDENTIAL,136,52910 White Light Suite 565 LAND TR Fee Owner,"$877,631 ","$61,692 ",$0 ,$0.00 ,$0.00 ,$0.00 
4106 Ashley Fields,COMMERCIAL B,694,4106 Ashley Fields LAND TR Fee Owner,"$307,774 ","$50,048 ",$0 ,$0.00 ,$0.00 ,$0.00 
531 Jesus Spurs,RESIDENTIAL,817,531 Jesus Spurs LAND TR Fee Owner,"$970,725 ","$35,547 ",$0 ,$0.00 ,$0.00 ,$0.00 
676 Johnston Drive,COMMERCIAL A,524,676 Johnston Drive LAND TR Fee Owner,"$240,123 ","$79,079 ",$0 ,$0.00 ,$0.00 ,$0.00 
183 Paul Mission Suite 259,COMMERCIAL B,771,183 Paul Mission Suite 259 LAND TR Fee Owner,"$780,270 ","$32,339 ",$0 ,$0.00 ,$0.00 ,$0.00 
315 Smith Grove Apt. 275,COMMERCIAL A,863,315 Smith Grove Apt. 275 LAND TR Fee Owner,"$157,310 ","$71,252 ",$0 ,$0.00 ,$0.00 ,$0.00 
660 Johnson Corners Apt. 900,COMMERCIAL A,192,660 Johnson Corners Apt. 900 LAND TR Fee Owner,"$326,090 ","$54,149 ",$0 ,$0.00 ,$0.00 ,$0.00 
63790 Estrada Views,COMMERCIAL B,448,63790 Estrada Views LAND TR Fee Owner,"$286,561 ","$73,433 ",$0 ,$0.00 ,$0.00 ,$0.00 
41332 Javier Road Apt. 215,COMMERCIAL A,482,41332 Javier Road Apt. 215 LAND TR Fee Owner,"$266,405 ","$59,270 ",$0 ,$0.00 ,$0.00 ,$0.00 
380 Stephenson Parkway,COMMERCIAL A,626,380 Stephenson Parkway LAND TR Fee Owner,"$575,965 ","$20,437 ",$0 ,$0.00 ,$0.00 ,$0.00 
8142 Gregory Ford Suite 856,COMMERCIAL A,329,8142 Gregory Ford Suite 856 LAND TR Fee Owner,"$331,802 ","$44,006 ",$0 ,$0.00 ,$0.00 ,$0.00 
4585 Rachel Fall Apt. 213,COMMERCIAL A,957,4585 Rachel Fall Apt. 213 LAND TR Fee Owner,"$656,539 ","$21,251 ",$0 ,$0.00 ,$0.00 ,$0.00 
6987 Eileen View Suite 745,COMMERCIAL B,969,6987 Eileen View Suite 745 LAND TR Fee Owner,"$208,409 ","$54,858 ",$0 ,$0.00 ,$0.00 ,$0.00 
357 Tara Tunnel,COMMERCIAL B,680,357 Tara Tunnel LAND TR Fee Owner,"$525,053 ","$71,708 ",$0 ,$0.00 ,$0.00 ,$0.00 
328 Patricia Summit,RESIDENTIAL,157,328 Patricia Summit LAND TR Fee Owner,"$603,721 ","$22,828 ",$0 ,$0.00 ,$0.00 ,$0.00 
4526 Snyder Mill,RESIDENTIAL,474,4526 Snyder Mill LAND TR Fee Owner,"$797,441 ","$90,024 ",$0 ,$0.00 ,$0.00 ,$0.00 
375 Robert Isle Suite 230,RESIDENTIAL,626,375 Robert Isle Suite 230 LAND TR Fee Owner,"$810,618 ","$26,340 ",$0 ,$0.00 ,$0.00 ,$0.00 
1101 Doyle Stravenue Apt. 795,COMMERCIAL B,584,1101 Doyle Stravenue Apt. 795 LAND TR Fee Owner,"$718,677 ","$45,211 ",$0 ,$0.00 ,$0.00 ,$0.00 
54978 Chen Locks Suite 488,COMMERCIAL A,173,54978 Chen Locks Suite 488 LAND TR Fee Owner,"$955,357 ","$55,200 ",$0 ,$0.00 ,$0.00 ,$0.00 
382 Carr Turnpike Apt. 162,COMMERCIAL B,770,382 Carr Turnpike Apt. 162 LAND TR Fee Owner,"$876,343 ","$25,074 ",$0 ,$0.00 ,$0.00 ,$0.00 
44259 Ford Mission Apt. 203,COMMERCIAL B,464,44259 Ford Mission Apt. 203 LAND TR Fee Owner,"$234,457 ","$19,953 ",$0 ,$0.00 ,$0.00 ,$0.00 
08797 Joseph Stream,RESIDENTIAL,347,08797 Joseph Stream LAND TR Fee Owner,"$730,001 ","$50,915 ",$0 ,$0.00 ,$0.00 ,$0.00 
180 Williams Islands,COMMERCIAL B,276,180 Williams Islands LAND TR Fee Owner,"$851,176 ","$29,598 ",$0 ,$0.00 ,$0.00 ,$0.00 
4109 Baker Shores Apt. 117,RESIDENTIAL,102,4109 Baker Shores Apt. 117 LAND TR Fee Owner,"$472,618 ","$53,972 ",$0 ,$0.00 ,$0.00 ,$0.00 
399 Payne Stream,COMMERCIAL B,666,399 Payne Stream LAND TR Fee Owner,"$456,860 ","$34,834 ",$0 ,$0.00 ,$0.00 ,$0.00 
63679 Lara Hill Apt. 891,RESIDENTIAL,922,63679 Lara Hill Apt. 891 LAND TR Fee Owner,"$599,167 ","$84,730 ",$0 ,$0.00 ,$0.00 ,$0.00 
8755 Melissa Grove Suite 992,COMMERCIAL B,917,8755 Melissa Grove Suite 992 LAND TR Fee Owner,"$730,268 ","$25,184 ",$0 ,$0.00 ,$0.00 ,$0.00 
9012 Sean Heights Suite 706,COMMERCIAL A,782,9012 Sean Heights Suite 706 LAND TR Fee Owner,"$340,607 ","$45,435 ",$0 ,$0.00 ,$0.00 ,$0.00 
284 Herring Extension Suite 447,COMMERCIAL A,350,284 Herring Extension Suite 447 LAND TR Fee Owner,"$366,652 ","$41,591 ",$0 ,$0.00 ,$0.00 ,$0.00 
0098 Davis Cliff,RESIDENTIAL,985,0098 Davis Cliff LAND TR Fee Owner,"$149,793 ","$49,003 ",$0 ,$0.00 ,$0.00 ,$0.00 
358 Mallory Harbor,COMMERCIAL B,753,358 Mallory Harbor LAND TR Fee Owner,"$764,596 ","$75,150 ",$0 ,$0.00 ,$0.00 ,$0.00 
50845 Thompson Villages Suite 743,COMMERCIAL A,452,50845 Thompson Villages Suite 743 LAND TR Fee Owner,"$533,565 ","$95,816 ",$0 ,$0.00 ,$0.00 ,$0.00 
0629 Johnson River,RESIDENTIAL,302,0629 Johnson River LAND TR Fee Owner,"$963,756 ","$34,418 ",$0 ,$0.00 ,$0.00 ,$0.00 
02519 Anna Loop Suite 437,COMMERCIAL A,329,02519 Anna Loop Suite 437 LAND TR Fee Owner,"$904,723 ","$18,101 ",$0 ,$0.00 ,$0.00 ,$0.00 
58881 Bailey Greens,RESIDENTIAL,700,58881 Bailey Greens LAND TR Fee Owner,"$170,344 ","$59,682 ",$0 ,$0.00 ,$0.00 ,$0.00 
734 Jackson Ridge,COMMERCIAL B,367,734 Jackson Ridge LAND TR Fee Owner,"$960,983 ","$93,365 ",$0 ,$0.00 ,$0.00 ,$0.00 
457 Pugh Road Apt. 921,COMMERCIAL A,260,457 Pugh Road Apt. 921 LAND TR Fee Owner,"$263,443 ","$40,154 ",$0 ,$0.00 ,$0.00 ,$0.00 
831 Maxwell Gardens,COMMERCIAL A,517,831 Maxwell Gardens LAND TR Fee Owner,"$132,503 ","$44,592 ",$0 ,$0.00 ,$0.00 ,$0.00 
4450 Robert Springs Suite 295,COMMERCIAL A,388,4450 Robert Springs Suite 295 LAND TR Fee Owner,"$369,568 ","$84,638 ",$0 ,$0.00 ,$0.00 ,$0.00 
0677 Anderson Ports Apt. 183,COMMERCIAL A,435,0677 Anderson Ports Apt. 183 LAND TR Fee Owner,"$501,253 ","$24,641 ",$0 ,$0.00 ,$0.00 ,$0.00 
52690 Ponce Points Suite 036,COMMERCIAL B,124,52690 Ponce Points Suite 036 LAND TR Fee Owner,"$339,137 ","$36,134 ",$0 ,$0.00 ,$0.00 ,$0.00 
8414 Byrd Rapid,RESIDENTIAL,558,8414 Byrd Rapid LAND TR Fee Owner,"$140,631 ","$13,735 ",$0 ,$0.00 ,$0.00 ,$0.00 
7998 Peter Divide,COMMERCIAL B,801,7998 Peter Divide LAND TR Fee Owner,"$257,183 ","$81,476 ",$0 ,$0.00 ,$0.00 ,$0.00 
9867 Travis Meadows,COMMERCIAL B,256,9867 Travis Meadows LAND TR Fee Owner,"$653,043 ","$75,980 ",$0 ,$0.00 ,$0.00 ,$0.00 
95805 Ibarra Turnpike,RESIDENTIAL,267,95805 Ibarra Turnpike LAND TR Fee Owner,"$193,558 ","$96,778 ",$0 ,$0.00 ,$0.00 ,$0.00 
74735 Chavez Crossing,COMMERCIAL B,359,74735 Chavez Crossing LAND TR Fee Owner,"$242,659 ","$92,622 ",$0 ,$0.00 ,$0.00 ,$0.00 
02105 Hicks Prairie Apt. 717,RESIDENTIAL,406,02105 Hicks Prairie Apt. 717 LAND TR Fee Owner,"$130,672 ","$15,689 ",$0 ,$0.00 ,$0.00 ,$0.00 
29098 Hardin Cape Suite 617,RESIDENTIAL,642,29098 Hardin Cape Suite 617 LAND TR Fee Owner,"$884,516 ","$77,322 ",$0 ,$0.00 ,$0.00 ,$0.00 
694 Christina Key Apt. 662,COMMERCIAL A,798,694 Christina Key Apt. 662 LAND TR Fee Owner,"$871,746 ","$80,789 ",$0 ,$0.00 ,$0.00 ,$0.00 
060 Ballard Viaduct,COMMERCIAL A,246,060 Ballard Viaduct LAND TR Fee Owner,"$787,931 ","$56,796 ",$0 ,$0.00 ,$0.00 ,$0.00 
7938 Clark Mount Apt. 046,COMMERCIAL B,790,7938 Clark Mount Apt. 046 LAND TR Fee Owner,"$947,368 ","$67,094 ",$0 ,$0.00 ,$0.00 ,$0.00 
231 Teresa Run,RESIDENTIAL,506,231 Teresa Run LAND TR Fee Owner,"$289,650 ","$27,392 ",$0 ,$0.00 ,$0.00 ,$0.00 
024 Carrillo Key Suite 255,RESIDENTIAL,696,024 Carrillo Key Suite 255 LAND TR Fee Owner,"$338,379 ","$71,740 ",$0 ,$0.00 ,$0.00 ,$0.00 
7664 Jennifer Lakes Apt. 651,COMMERCIAL A,362,7664 Jennifer Lakes Apt. 651 LAND TR Fee Owner,"$368,133 ","$69,335 ",$0 ,$0.00 ,$0.00 ,$0.00 
44103 Kelly Glens Apt. 794,COMMERCIAL A,728,44103 Kelly Glens Apt. 794 LAND TR Fee Owner,"$622,944 ","$25,455 ",$0 ,$0.00 ,$0.00 ,$0.00 
8845 Rodney Landing,COMMERCIAL A,220,8845 Rodney Landing LAND TR Fee Owner,"$147,415 ","$33,185 ",$0 ,$0.00 ,$0.00 ,$0.00 
821 Robinson Ville Apt. 920,COMMERCIAL B,810,821 Robinson Ville Apt. 920 LAND TR Fee Owner,"$797,466 ","$43,887 ",$0 ,$0.00 ,$0.00 ,$0.00 
50286 Nathan Mall Apt. 086,COMMERCIAL B,223,50286 Nathan Mall Apt. 086 LAND TR Fee Owner,"$879,778 ","$46,571 ",$0 ,$0.00 ,$0.00 ,$0.00 
3300 Sarah Mountains Suite 880,COMMERCIAL A,160,3300 Sarah Mountains Suite 880 LAND TR Fee Owner,"$971,995 ","$97,422 ",$0 ,$0.00 ,$0.00 ,$0.00 
61986 Tracy Fall,RESIDENTIAL,610,61986 Tracy Fall LAND TR Fee Owner,"$940,424 ","$61,539 ",$0 ,$0.00 ,$0.00 ,$0.00 
956 Ryan Ranch Suite 937,RESIDENTIAL,779,956 Ryan Ranch Suite 937 LAND TR Fee Owner,"$341,051 ","$46,662 ",$0 ,$0.00 ,$0.00 ,$0.00 
585 Morgan Locks,RESIDENTIAL,878,585 Morgan Locks LAND TR Fee Owner,"$718,088 ","$87,620 ",$0 ,$0.00 ,$0.00 ,$0.00 
89300 Laurie Extension Apt. 497,COMMERCIAL A,569,89300 Laurie Extension Apt. 497 LAND TR Fee Owner,"$515,455 ","$75,245 ",$0 ,$0.00 ,$0.00 ,$0.00 
543 Collier Burgs Apt. 205,RESIDENTIAL,264,543 Collier Burgs Apt. 205 LAND TR Fee Owner,"$834,510 ","$65,089 ",$0 ,$0.00 ,$0.00 ,$0.00 
44634 Christian Extensions Apt. 144,RESIDENTIAL,749,44634 Christian Extensions Apt. 144 LAND TR Fee Owner,"$995,536 ","$83,496 ",$0 ,$0.00 ,$0.00 ,$0.00 
0378 Davis Gardens,COMMERCIAL A,884,0378 Davis Gardens LAND TR Fee Owner,"$254,590 ","$80,124 ",$0 ,$0.00 ,$0.00 ,$0.00 
8830 Brian Cliffs Apt. 884,COMMERCIAL A,647,8830 Brian Cliffs Apt. 884 LAND TR Fee Owner,"$595,994 ","$95,330 ",$0 ,$0.00 ,$0.00 ,$0.00 
71182 Jessica Landing Apt. 539,COMMERCIAL B,206,71182 Jessica Landing Apt. 539 LAND TR Fee Owner,"$900,887 ","$59,308 ",$0 ,$0.00 ,$0.00 ,$0.00 
6001 Julie Extension Suite 961,COMMERCIAL B,319,6001 Julie Extension Suite 961 LAND TR Fee Owner,"$648,066 ","$69,873 ",$0 ,$0.00 ,$0.00 ,$0.00 
60674 Fisher Mews,RESIDENTIAL,245,60674 Fisher Mews LAND TR Fee Owner,"$435,940 ","$20,163 ",$0 ,$0.00 ,$0.00 ,$0.00 
2911 Julia Greens,RESIDENTIAL,420,2911 Julia Greens LAND TR Fee Owner,"$454,948 ","$21,176 ",$0 ,$0.00 ,$0.00 ,$0.00 
3047 Brittany Villages Apt. 526,RESIDENTIAL,890,3047 Brittany Villages Apt. 526 LAND TR Fee Owner,"$762,903 ","$34,667 ",$0 ,$0.00 ,$0.00 ,$0.00 
173 Andrea Circle Apt. 326,COMMERCIAL A,942,173 Andrea Circle Apt. 326 LAND TR Fee Owner,"$274,128 ","$86,754 ",$0 ,$0.00 ,$0.00 ,$0.00 
335 Jill Inlet,RESIDENTIAL,554,335 Jill Inlet LAND TR Fee Owner,"$505,490 ","$99,751 ",$0 ,$0.00 ,$0.00 ,$0.00 
3950 Higgins Villages,RESIDENTIAL,864,3950 Higgins Villages LAND TR Fee Owner,"$416,975 ","$79,321 ",$0 ,$0.00 ,$0.00 ,$0.00 
9839 Lewis Bypass Apt. 656,COMMERCIAL B,757,9839 Lewis Bypass Apt. 656 LAND TR Fee Owner,"$677,672 ","$99,746 ",$0 ,$0.00 ,$0.00 ,$0.00 
34841 Kenneth Camp Suite 806,RESIDENTIAL,685,34841 Kenneth Camp Suite 806 LAND TR Fee Owner,"$925,033 ","$95,684 ",$0 ,$0.00 ,$0.00 ,$0.00 
1890 Murphy Walk Suite 114,COMMERCIAL A,826,1890 Murphy Walk Suite 114 LAND TR Fee Owner,"$393,408 ","$45,343 ",$0 ,$0.00 ,$0.00 ,$0.00 
5435 Ritter Centers,COMMERCIAL B,392,5435 Ritter Centers LAND TR Fee Owner,"$756,514 ","$74,200 ",$0 ,$0.00 ,$0.00 ,$0.00 
2576 Jamie Parkways Suite 881,RESIDENTIAL,561,2576 Jamie Parkways Suite 881 LAND TR Fee Owner,"$911,747 ","$15,423 ",$0 ,$0.00 ,$0.00 ,$0.00 
75223 Jonathan Ferry,COMMERCIAL A,455,75223 Jonathan Ferry LAND TR Fee Owner,"$466,402 ","$14,030 ",$0 ,$0.00 ,$0.00 ,$0.00 
590 Williams Parks,COMMERCIAL A,652,590 Williams Parks LAND TR Fee Owner,"$764,844 ","$54,046 ",$0 ,$0.00 ,$0.00 ,$0.00 
3306 Lauren Valleys,RESIDENTIAL,258,3306 Lauren Valleys LAND TR Fee Owner,"$898,210 ","$24,591 ",$0 ,$0.00 ,$0.00 ,$0.00 
84441 Johnson Meadows Suite 866,RESIDENTIAL,264,84441 Johnson Meadows Suite 866 LAND TR Fee Owner,"$121,326 ","$58,921 ",$0 ,$0.00 ,$0.00 ,$0.00 
2541 Villarreal Cape Apt. 401,COMMERCIAL B,463,2541 Villarreal Cape Apt. 401 LAND TR Fee Owner,"$928,371 ","$28,710 ",$0 ,$0.00 ,$0.00 ,$0.00 
