Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
5026 MAIN ST,RESIDENTIAL B,"2,336",5026 MAIN ST LAND TR Fee Owner,"$127,849","$105,113",$0,$0.00,$0.00,$0.00
7423 MAIN ST,COMMERCIAL A,"3,611",7423 MAIN ST LAND TR Fee Owner,"$738,493","$176,697",$0,$0.00,$0.00,$0.00
2288 MAIN ST,COMMERCIAL A,"3,588",2288 MAIN ST LAND TR Fee Owner,"$405,545","$162,915",$0,$0.00,$0.00,$0.00
2624 MAIN ST,RESIDENTIAL A,"9,967",2624 MAIN ST LAND TR Fee Owner,"$335,543","$60,671",$0,$0.00,$0.00,$0.00
3594 MAIN ST,COMMERCIAL A,"1,770",3594 MAIN ST LAND TR Fee Owner,"$984,813","$72,617",$0,$0.00,$0.00,$0.00
7422 MAIN ST,COMMERCIAL B,"9,225",7422 MAIN ST LAND TR Fee Owner,"$712,086","$17,611",$0,$0.00,$0.00,$0.00
4089 MAIN ST,RESIDENTIAL B,"2,066",4089 MAIN ST LAND TR Fee Owner,"$490,557","$174,721",$0,$0.00,$0.00,$0.00
6259 MAIN ST,RESIDENTIAL A,"2,144",6259 MAIN ST LAND TR Fee Owner,"$582,705","$14,068",$0,$0.00,$0.00,$0.00
2130 MAIN ST,COMMERCIAL A,"2,715",2130 MAIN ST LAND TR Fee Owner,"$440,596","$79,799",$0,$0.00,$0.00,$0.00
3460 MAIN ST,RESIDENTIAL A,"7,001",3460 MAIN ST LAND TR Fee Owner,"$956,199","$77,855",$0,$0.00,$0.00,$0.00
8407 MAIN ST,RESIDENTIAL A,"7,352",8407 MAIN ST LAND TR Fee Owner,"$413,283","$159,743",$0,$0.00,$0.00,$0.00
8419 MAIN ST,COMMERCIAL B,"5,334",8419 MAIN ST LAND TR Fee Owner,"$981,179","$64,827",$0,$0.00,$0.00,$0.00
4019 MAIN ST,COMMERCIAL A,"5,327",4019 MAIN ST LAND TR Fee Owner,"$542,699","$104,467",$0,$0.00,$0.00,$0.00
9020 MAIN ST,RESIDENTIAL B,"7,380",9020 MAIN ST LAND TR Fee Owner,"$870,879","$196,503",$0,$0.00,$0.00,$0.00
1787 MAIN ST,COMMERCIAL B,"1,105",1787 MAIN ST LAND TR Fee Owner,"$670,817","$112,539",$0,$0.00,$0.00,$0.00
7030 MAIN ST,RESIDENTIAL A,"8,760",7030 MAIN ST LAND TR Fee Owner,"$154,191","$165,047",$0,$0.00,$0.00,$0.00
7432 MAIN ST,COMMERCIAL B,"9,307",7432 MAIN ST LAND TR Fee Owner,"$287,212","$36,022",$0,$0.00,$0.00,$0.00
5753 MAIN ST,COMMERCIAL A,"4,336",5753 MAIN ST LAND TR Fee Owner,"$350,462","$15,589",$0,$0.00,$0.00,$0.00
4545 MAIN ST,RESIDENTIAL B,"6,475",4545 MAIN ST LAND TR Fee Owner,"$880,942","$70,189",$0,$0.00,$0.00,$0.00
3888 MAIN ST,RESIDENTIAL B,"4,382",3888 MAIN ST LAND TR Fee Owner,"$368,194","$113,312",$0,$0.00,$0.00,$0.00
5290 MAIN ST,COMMERCIAL B,"8,347",5290 MAIN ST LAND TR Fee Owner,"$653,302","$55,758",$0,$0.00,$0.00,$0.00
7070 MAIN ST,COMMERCIAL A,"1,132",7070 MAIN ST LAND TR Fee Owner,"$590,523","$189,785",$0,$0.00,$0.00,$0.00
7182 MAIN ST,RESIDENTIAL A,"7,753",7182 MAIN ST LAND TR Fee Owner,"$470,220","$126,953",$0,$0.00,$0.00,$0.00
5930 MAIN ST,COMMERCIAL B,"9,924",5930 MAIN ST LAND TR Fee Owner,"$464,017","$95,910",$0,$0.00,$0.00,$0.00
9194 MAIN ST,COMMERCIAL B,"5,365",9194 MAIN ST LAND TR Fee Owner,"$528,633","$182,135",$0,$0.00,$0.00,$0.00
1811 MAIN ST,RESIDENTIAL B,"8,033",1811 MAIN ST LAND TR Fee Owner,"$615,978","$66,428",$0,$0.00,$0.00,$0.00
5188 MAIN ST,COMMERCIAL B,"2,900",5188 MAIN ST LAND TR Fee Owner,"$971,475","$178,449",$0,$0.00,$0.00,$0.00
2117 MAIN ST,COMMERCIAL B,"4,552",2117 MAIN ST LAND TR Fee Owner,"$211,905","$149,632",$0,$0.00,$0.00,$0.00
3885 MAIN ST,COMMERCIAL B,"4,996",3885 MAIN ST LAND TR Fee Owner,"$986,319","$43,320",$0,$0.00,$0.00,$0.00
5923 MAIN ST,RESIDENTIAL B,"2,549",5923 MAIN ST LAND TR Fee Owner,"$633,328","$83,541",$0,$0.00,$0.00,$0.00
8669 MAIN ST,COMMERCIAL A,"5,971",8669 MAIN ST LAND TR Fee Owner,"$186,661","$31,691",$0,$0.00,$0.00,$0.00
1630 MAIN ST,COMMERCIAL B,"3,816",1630 MAIN ST LAND TR Fee Owner,"$339,634","$116,745",$0,$0.00,$0.00,$0.00
5024 MAIN ST,COMMERCIAL B,"7,504",5024 MAIN ST LAND TR Fee Owner,"$789,096","$20,183",$0,$0.00,$0.00,$0.00
6143 MAIN ST,RESIDENTIAL B,"6,044",6143 MAIN ST LAND TR Fee Owner,"$401,212","$155,166",$0,$0.00,$0.00,$0.00
5854 MAIN ST,RESIDENTIAL A,"8,629",5854 MAIN ST LAND TR Fee Owner,"$554,919","$66,197",$0,$0.00,$0.00,$0.00
7112 MAIN ST,RESIDENTIAL A,"1,064",7112 MAIN ST LAND TR Fee Owner,"$791,991","$161,798",$0,$0.00,$0.00,$0.00
5348 MAIN ST,RESIDENTIAL A,"2,420",5348 MAIN ST LAND TR Fee Owner,"$843,540","$74,875",$0,$0.00,$0.00,$0.00
6076 MAIN ST,RESIDENTIAL B,"4,498",6076 MAIN ST LAND TR Fee Owner,"$893,211","$163,342",$0,$0.00,$0.00,$0.00
2717 MAIN ST,RESIDENTIAL B,"2,613",2717 MAIN ST LAND TR Fee Owner,"$768,883","$111,759",$0,$0.00,$0.00,$0.00
9916 MAIN ST,RESIDENTIAL A,"8,017",9916 MAIN ST LAND TR Fee Owner,"$994,530","$108,950",$0,$0.00,$0.00,$0.00
5950 MAIN ST,COMMERCIAL B,"2,733",5950 MAIN ST LAND TR Fee Owner,"$606,879","$162,150",$0,$0.00,$0.00,$0.00
2625 MAIN ST,COMMERCIAL A,"5,562",2625 MAIN ST LAND TR Fee Owner,"$742,946","$61,971",$0,$0.00,$0.00,$0.00
5940 MAIN ST,COMMERCIAL A,"6,913",5940 MAIN ST LAND TR Fee Owner,"$621,490","$137,013",$0,$0.00,$0.00,$0.00
3057 MAIN ST,RESIDENTIAL A,"6,703",3057 MAIN ST LAND TR Fee Owner,"$761,627","$186,069",$0,$0.00,$0.00,$0.00
2614 MAIN ST,RESIDENTIAL A,"5,224",2614 MAIN ST LAND TR Fee Owner,"$387,537","$61,469",$0,$0.00,$0.00,$0.00
7840 MAIN ST,COMMERCIAL A,"7,374",7840 MAIN ST LAND TR Fee Owner,"$62,381","$189,301",$0,$0.00,$0.00,$0.00
9886 MAIN ST,RESIDENTIAL B,"3,356",9886 MAIN ST LAND TR Fee Owner,"$624,265","$160,104",$0,$0.00,$0.00,$0.00
4085 MAIN ST,COMMERCIAL A,"4,135",4085 MAIN ST LAND TR Fee Owner,"$595,400","$101,210",$0,$0.00,$0.00,$0.00
6547 MAIN ST,COMMERCIAL B,"8,560",6547 MAIN ST LAND TR Fee Owner,"$689,279","$104,988",$0,$0.00,$0.00,$0.00
9684 MAIN ST,RESIDENTIAL A,"6,886",9684 MAIN ST LAND TR Fee Owner,"$440,862","$115,185",$0,$0.00,$0.00,$0.00
4515 MAIN ST,RESIDENTIAL A,"1,999",4515 MAIN ST LAND TR Fee Owner,"$781,790","$123,957",$0,$0.00,$0.00,$0.00
2157 MAIN ST,COMMERCIAL A,"2,163",2157 MAIN ST LAND TR Fee Owner,"$326,049","$119,917",$0,$0.00,$0.00,$0.00
7837 MAIN ST,RESIDENTIAL B,"7,444",7837 MAIN ST LAND TR Fee Owner,"$64,194","$192,414",$0,$0.00,$0.00,$0.00
3683 MAIN ST,COMMERCIAL A,"2,919",3683 MAIN ST LAND TR Fee Owner,"$546,423","$12,331",$0,$0.00,$0.00,$0.00
9074 MAIN ST,RESIDENTIAL B,"7,838",9074 MAIN ST LAND TR Fee Owner,"$176,596","$53,255",$0,$0.00,$0.00,$0.00
7353 MAIN ST,RESIDENTIAL A,"8,243",7353 MAIN ST LAND TR Fee Owner,"$371,580","$48,977",$0,$0.00,$0.00,$0.00
9143 MAIN ST,COMMERCIAL B,"9,488",9143 MAIN ST LAND TR Fee Owner,"$629,682","$136,642",$0,$0.00,$0.00,$0.00
9884 MAIN ST,COMMERCIAL B,"6,900",9884 MAIN ST LAND TR Fee Owner,"$429,352","$71,291",$0,$0.00,$0.00,$0.00
3796 MAIN ST,COMMERCIAL A,"2,434",3796 MAIN ST LAND TR Fee Owner,"$523,492","$55,471",$0,$0.00,$0.00,$0.00
3072 MAIN ST,COMMERCIAL B,"1,519",3072 MAIN ST LAND TR Fee Owner,"$222,301","$142,972",$0,$0.00,$0.00,$0.00
9477 MAIN ST,RESIDENTIAL B,"4,283",9477 MAIN ST LAND TR Fee Owner,"$374,212","$183,636",$0,$0.00,$0.00,$0.00
2401 MAIN ST,COMMERCIAL A,"2,494",2401 MAIN ST LAND TR Fee Owner,"$868,388","$120,404",$0,$0.00,$0.00,$0.00
9685 MAIN ST,RESIDENTIAL B,"9,840",9685 MAIN ST LAND TR Fee Owner,"$104,176","$103,519",$0,$0.00,$0.00,$0.00
3718 MAIN ST,RESIDENTIAL B,"8,078",3718 MAIN ST LAND TR Fee Owner,"$762,965","$78,470",$0,$0.00,$0.00,$0.00
8048 MAIN ST,RESIDENTIAL A,"5,357",8048 MAIN ST LAND TR Fee Owner,"$443,162","$59,275",$0,$0.00,$0.00,$0.00
7233 MAIN ST,COMMERCIAL A,"5,013",7233 MAIN ST LAND TR Fee Owner,"$865,971","$94,403",$0,$0.00,$0.00,$0.00
9354 MAIN ST,COMMERCIAL A,"5,741",9354 MAIN ST LAND TR Fee Owner,"$712,421","$66,505",$0,$0.00,$0.00,$0.00
8388 MAIN ST,COMMERCIAL B,"7,572",8388 MAIN ST LAND TR Fee Owner,"$457,741","$149,662",$0,$0.00,$0.00,$0.00
4908 MAIN ST,RESIDENTIAL B,"8,072",4908 MAIN ST LAND TR Fee Owner,"$510,632","$66,825",$0,$0.00,$0.00,$0.00
4228 MAIN ST,COMMERCIAL A,"4,023",4228 MAIN ST LAND TR Fee Owner,"$181,268","$139,397",$0,$0.00,$0.00,$0.00
3359 MAIN ST,COMMERCIAL A,"6,815",3359 MAIN ST LAND TR Fee Owner,"$512,387","$146,723",$0,$0.00,$0.00,$0.00
3899 MAIN ST,COMMERCIAL B,"2,566",3899 MAIN ST LAND TR Fee Owner,"$841,961","$99,854",$0,$0.00,$0.00,$0.00
9441 MAIN ST,RESIDENTIAL B,"7,208",9441 MAIN ST LAND TR Fee Owner,"$346,170","$36,830",$0,$0.00,$0.00,$0.00
2552 MAIN ST,RESIDENTIAL B,"2,491",2552 MAIN ST LAND TR Fee Owner,"$381,080","$20,572",$0,$0.00,$0.00,$0.00
9918 MAIN ST,COMMERCIAL A,"3,403",9918 MAIN ST LAND TR Fee Owner,"$324,547","$100,912",$0,$0.00,$0.00,$0.00
4516 MAIN ST,RESIDENTIAL A,"5,550",4516 MAIN ST LAND TR Fee Owner,"$790,158","$122,593",$0,$0.00,$0.00,$0.00
1754 MAIN ST,COMMERCIAL B,"8,641",1754 MAIN ST LAND TR Fee Owner,"$401,509","$42,866",$0,$0.00,$0.00,$0.00
5153 MAIN ST,COMMERCIAL B,"9,516",5153 MAIN ST LAND TR Fee Owner,"$981,750","$119,248",$0,$0.00,$0.00,$0.00
7919 MAIN ST,RESIDENTIAL A,"6,210",7919 MAIN ST LAND TR Fee Owner,"$361,531","$40,173",$0,$0.00,$0.00,$0.00
2976 MAIN ST,COMMERCIAL B,"8,257",2976 MAIN ST LAND TR Fee Owner,"$357,177","$29,120",$0,$0.00,$0.00,$0.00
7878 MAIN ST,COMMERCIAL B,"2,094",7878 MAIN ST LAND TR Fee Owner,"$376,446","$35,714",$0,$0.00,$0.00,$0.00
7793 MAIN ST,COMMERCIAL B,"1,444",7793 MAIN ST LAND TR Fee Owner,"$307,776","$94,320",$0,$0.00,$0.00,$0.00
8979 MAIN ST,RESIDENTIAL A,"8,884",8979 MAIN ST LAND TR Fee Owner,"$879,303","$106,072",$0,$0.00,$0.00,$0.00
5518 MAIN ST,COMMERCIAL B,"8,029",5518 MAIN ST LAND TR Fee Owner,"$258,772","$74,059",$0,$0.00,$0.00,$0.00
7442 MAIN ST,RESIDENTIAL B,"8,503",7442 MAIN ST LAND TR Fee Owner,"$238,852","$78,607",$0,$0.00,$0.00,$0.00
2815 MAIN ST,RESIDENTIAL B,"3,891",2815 MAIN ST LAND TR Fee Owner,"$624,904","$50,609",$0,$0.00,$0.00,$0.00
4580 MAIN ST,RESIDENTIAL B,"1,244",4580 MAIN ST LAND TR Fee Owner,"$433,024","$27,006",$0,$0.00,$0.00,$0.00
5305 MAIN ST,COMMERCIAL A,"6,150",5305 MAIN ST LAND TR Fee Owner,"$985,148","$175,504",$0,$0.00,$0.00,$0.00
6055 MAIN ST,COMMERCIAL B,"7,214",6055 MAIN ST LAND TR Fee Owner,"$164,776","$178,299",$0,$0.00,$0.00,$0.00
7896 MAIN ST,COMMERCIAL B,"7,579",7896 MAIN ST LAND TR Fee Owner,"$626,816","$166,215",$0,$0.00,$0.00,$0.00
4587 MAIN ST,RESIDENTIAL B,"5,217",4587 MAIN ST LAND TR Fee Owner,"$743,563","$129,897",$0,$0.00,$0.00,$0.00
2624 MAIN ST,RESIDENTIAL B,"4,951",2624 MAIN ST LAND TR Fee Owner,"$797,003","$199,793",$0,$0.00,$0.00,$0.00
2437 MAIN ST,RESIDENTIAL A,"6,059",2437 MAIN ST LAND TR Fee Owner,"$924,885","$188,295",$0,$0.00,$0.00,$0.00
5553 MAIN ST,RESIDENTIAL B,"1,652",5553 MAIN ST LAND TR Fee Owner,"$315,319","$61,264",$0,$0.00,$0.00,$0.00
1931 MAIN ST,COMMERCIAL B,"5,718",1931 MAIN ST LAND TR Fee Owner,"$118,110","$58,963",$0,$0.00,$0.00,$0.00
2398 MAIN ST,COMMERCIAL B,"1,655",2398 MAIN ST LAND TR Fee Owner,"$663,520","$53,186",$0,$0.00,$0.00,$0.00
4519 MAIN ST,COMMERCIAL A,"5,649",4519 MAIN ST LAND TR Fee Owner,"$882,914","$155,975",$0,$0.00,$0.00,$0.00
7815 MAIN ST,RESIDENTIAL B,"6,985",7815 MAIN ST LAND TR Fee Owner,"$791,796","$195,369",$0,$0.00,$0.00,$0.00
4907 MAIN ST,COMMERCIAL B,"4,635",4907 MAIN ST LAND TR Fee Owner,"$483,770","$190,653",$0,$0.00,$0.00,$0.00
3025 MAIN ST,RESIDENTIAL A,"6,952",3025 MAIN ST LAND TR Fee Owner,"$607,351","$58,386",$0,$0.00,$0.00,$0.00
5665 MAIN ST,RESIDENTIAL B,"5,950",5665 MAIN ST LAND TR Fee Owner,"$176,643","$170,261",$0,$0.00,$0.00,$0.00
2993 MAIN ST,RESIDENTIAL A,"5,601",2993 MAIN ST LAND TR Fee Owner,"$615,541","$179,829",$0,$0.00,$0.00,$0.00
8577 MAIN ST,COMMERCIAL B,"3,409",8577 MAIN ST LAND TR Fee Owner,"$970,121","$17,692",$0,$0.00,$0.00,$0.00
2414 MAIN ST,COMMERCIAL B,"7,345",2414 MAIN ST LAND TR Fee Owner,"$325,966","$80,758",$0,$0.00,$0.00,$0.00
3110 MAIN ST,RESIDENTIAL A,"7,434",3110 MAIN ST LAND TR Fee Owner,"$312,166","$106,933",$0,$0.00,$0.00,$0.00
6406 MAIN ST,COMMERCIAL A,"1,866",6406 MAIN ST LAND TR Fee Owner,"$633,366","$35,305",$0,$0.00,$0.00,$0.00
1977 MAIN ST,RESIDENTIAL A,"3,211",1977 MAIN ST LAND TR Fee Owner,"$56,487","$149,218",$0,$0.00,$0.00,$0.00
6091 MAIN ST,COMMERCIAL B,"6,247",6091 MAIN ST LAND TR Fee Owner,"$773,933","$117,460",$0,$0.00,$0.00,$0.00
5897 MAIN ST,RESIDENTIAL A,"6,222",5897 MAIN ST LAND TR Fee Owner,"$267,212","$70,565",$0,$0.00,$0.00,$0.00
2963 MAIN ST,COMMERCIAL A,"8,409",2963 MAIN ST LAND TR Fee Owner,"$808,001","$65,842",$0,$0.00,$0.00,$0.00
8733 MAIN ST,COMMERCIAL A,"9,688",8733 MAIN ST LAND TR Fee Owner,"$176,508","$75,115",$0,$0.00,$0.00,$0.00
4413 MAIN ST,RESIDENTIAL B,"7,909",4413 MAIN ST LAND TR Fee Owner,"$130,950","$94,662",$0,$0.00,$0.00,$0.00
4537 MAIN ST,COMMERCIAL B,"7,924",4537 MAIN ST LAND TR Fee Owner,"$781,380","$79,085",$0,$0.00,$0.00,$0.00
9878 MAIN ST,RESIDENTIAL A,"1,919",9878 MAIN ST LAND TR Fee Owner,"$919,319","$24,054",$0,$0.00,$0.00,$0.00
4361 MAIN ST,RESIDENTIAL A,"5,612",4361 MAIN ST LAND TR Fee Owner,"$193,111","$47,804",$0,$0.00,$0.00,$0.00
2248 MAIN ST,COMMERCIAL A,"1,937",2248 MAIN ST LAND TR Fee Owner,"$375,992","$68,207",$0,$0.00,$0.00,$0.00
4907 MAIN ST,RESIDENTIAL A,"2,419",4907 MAIN ST LAND TR Fee Owner,"$764,120","$113,061",$0,$0.00,$0.00,$0.00
2581 MAIN ST,COMMERCIAL A,"9,759",2581 MAIN ST LAND TR Fee Owner,"$633,356","$23,341",$0,$0.00,$0.00,$0.00
9802 MAIN ST,COMMERCIAL A,"4,884",9802 MAIN ST LAND TR Fee Owner,"$66,380","$33,102",$0,$0.00,$0.00,$0.00
1827 MAIN ST,COMMERCIAL A,"4,180",1827 MAIN ST LAND TR Fee Owner,"$922,088","$172,913",$0,$0.00,$0.00,$0.00
6300 MAIN ST,RESIDENTIAL A,"3,322",6300 MAIN ST LAND TR Fee Owner,"$222,525","$157,516",$0,$0.00,$0.00,$0.00
7461 MAIN ST,RESIDENTIAL A,"4,220",7461 MAIN ST LAND TR Fee Owner,"$845,454","$93,086",$0,$0.00,$0.00,$0.00
8219 MAIN ST,COMMERCIAL A,"7,182",8219 MAIN ST LAND TR Fee Owner,"$140,260","$42,743",$0,$0.00,$0.00,$0.00
6885 MAIN ST,RESIDENTIAL A,"4,968",6885 MAIN ST LAND TR Fee Owner,"$107,177","$79,130",$0,$0.00,$0.00,$0.00
9162 MAIN ST,RESIDENTIAL B,"6,316",9162 MAIN ST LAND TR Fee Owner,"$524,673","$13,366",$0,$0.00,$0.00,$0.00
3741 MAIN ST,COMMERCIAL A,"4,935",3741 MAIN ST LAND TR Fee Owner,"$734,834","$42,738",$0,$0.00,$0.00,$0.00
3017 MAIN ST,RESIDENTIAL B,"8,828",3017 MAIN ST LAND TR Fee Owner,"$693,591","$137,379",$0,$0.00,$0.00,$0.00
5871 MAIN ST,COMMERCIAL A,"8,331",5871 MAIN ST LAND TR Fee Owner,"$277,352","$97,922",$0,$0.00,$0.00,$0.00
9602 MAIN ST,COMMERCIAL A,"8,276",9602 MAIN ST LAND TR Fee Owner,"$752,419","$7,845",$0,$0.00,$0.00,$0.00
9518 MAIN ST,RESIDENTIAL A,"6,393",9518 MAIN ST LAND TR Fee Owner,"$714,094","$104,871",$0,$0.00,$0.00,$0.00
3422 MAIN ST,RESIDENTIAL B,"4,335",3422 MAIN ST LAND TR Fee Owner,"$188,867","$174,470",$0,$0.00,$0.00,$0.00
8108 MAIN ST,COMMERCIAL A,"5,935",8108 MAIN ST LAND TR Fee Owner,"$82,426","$76,856",$0,$0.00,$0.00,$0.00
3623 MAIN ST,COMMERCIAL A,"3,945",3623 MAIN ST LAND TR Fee Owner,"$366,513","$148,404",$0,$0.00,$0.00,$0.00
1537 MAIN ST,COMMERCIAL A,"8,553",1537 MAIN ST LAND TR Fee Owner,"$412,325","$76,722",$0,$0.00,$0.00,$0.00
7247 MAIN ST,COMMERCIAL A,"7,980",7247 MAIN ST LAND TR Fee Owner,"$174,949","$171,745",$0,$0.00,$0.00,$0.00
4405 MAIN ST,COMMERCIAL B,"1,846",4405 MAIN ST LAND TR Fee Owner,"$610,546","$88,165",$0,$0.00,$0.00,$0.00
8695 MAIN ST,RESIDENTIAL B,"3,892",8695 MAIN ST LAND TR Fee Owner,"$368,721","$124,515",$0,$0.00,$0.00,$0.00
8516 MAIN ST,RESIDENTIAL A,"9,459",8516 MAIN ST LAND TR Fee Owner,"$699,139","$74,008",$0,$0.00,$0.00,$0.00
9124 MAIN ST,COMMERCIAL B,"2,500",9124 MAIN ST LAND TR Fee Owner,"$243,604","$40,447",$0,$0.00,$0.00,$0.00
6039 MAIN ST,RESIDENTIAL A,"4,227",6039 MAIN ST LAND TR Fee Owner,"$617,270","$51,331",$0,$0.00,$0.00,$0.00
1613 MAIN ST,COMMERCIAL B,"5,565",1613 MAIN ST LAND TR Fee Owner,"$313,594","$102,434",$0,$0.00,$0.00,$0.00
5251 MAIN ST,COMMERCIAL A,"4,464",5251 MAIN ST LAND TR Fee Owner,"$322,463","$61,791",$0,$0.00,$0.00,$0.00
6556 MAIN ST,RESIDENTIAL B,"9,720",6556 MAIN ST LAND TR Fee Owner,"$810,041","$124,459",$0,$0.00,$0.00,$0.00
9334 MAIN ST,RESIDENTIAL B,"7,914",9334 MAIN ST LAND TR Fee Owner,"$594,384","$53,526",$0,$0.00,$0.00,$0.00
7968 MAIN ST,RESIDENTIAL B,"2,325",7968 MAIN ST LAND TR Fee Owner,"$737,630","$196,216",$0,$0.00,$0.00,$0.00
9495 MAIN ST,COMMERCIAL A,"6,840",9495 MAIN ST LAND TR Fee Owner,"$477,717","$130,628",$0,$0.00,$0.00,$0.00
1632 MAIN ST,RESIDENTIAL A,"8,026",1632 MAIN ST LAND TR Fee Owner,"$316,051","$124,127",$0,$0.00,$0.00,$0.00
3529 MAIN ST,RESIDENTIAL A,"4,572",3529 MAIN ST LAND TR Fee Owner,"$95,921","$141,030",$0,$0.00,$0.00,$0.00
7948 MAIN ST,COMMERCIAL A,"4,061",7948 MAIN ST LAND TR Fee Owner,"$376,997","$144,331",$0,$0.00,$0.00,$0.00
5517 MAIN ST,COMMERCIAL B,"2,002",5517 MAIN ST LAND TR Fee Owner,"$755,141","$109,526",$0,$0.00,$0.00,$0.00
2834 MAIN ST,RESIDENTIAL A,"5,936",2834 MAIN ST LAND TR Fee Owner,"$91,466","$52,046",$0,$0.00,$0.00,$0.00
8747 MAIN ST,RESIDENTIAL A,"3,356",8747 MAIN ST LAND TR Fee Owner,"$462,815","$113,320",$0,$0.00,$0.00,$0.00
6403 MAIN ST,RESIDENTIAL A,"4,722",6403 MAIN ST LAND TR Fee Owner,"$833,362","$29,341",$0,$0.00,$0.00,$0.00
9823 MAIN ST,RESIDENTIAL B,"3,461",9823 MAIN ST LAND TR Fee Owner,"$924,880","$130,925",$0,$0.00,$0.00,$0.00
5402 MAIN ST,RESIDENTIAL A,"4,680",5402 MAIN ST LAND TR Fee Owner,"$927,494","$127,585",$0,$0.00,$0.00,$0.00
2493 MAIN ST,RESIDENTIAL B,"7,124",2493 MAIN ST LAND TR Fee Owner,"$946,565","$108,503",$0,$0.00,$0.00,$0.00
9060 MAIN ST,RESIDENTIAL A,"8,277",9060 MAIN ST LAND TR Fee Owner,"$374,923","$94,313",$0,$0.00,$0.00,$0.00
8921 MAIN ST,COMMERCIAL A,"9,892",8921 MAIN ST LAND TR Fee Owner,"$496,163","$164,488",$0,$0.00,$0.00,$0.00
6340 MAIN ST,RESIDENTIAL B,"6,741",6340 MAIN ST LAND TR Fee Owner,"$570,421","$98,785",$0,$0.00,$0.00,$0.00
3547 MAIN ST,RESIDENTIAL B,"3,218",3547 MAIN ST LAND TR Fee Owner,"$506,155","$40,438",$0,$0.00,$0.00,$0.00
4785 MAIN ST,RESIDENTIAL B,"9,693",4785 MAIN ST LAND TR Fee Owner,"$886,167","$150,112",$0,$0.00,$0.00,$0.00
9880 MAIN ST,COMMERCIAL A,"4,961",9880 MAIN ST LAND TR Fee Owner,"$702,962","$112,861",$0,$0.00,$0.00,$0.00
3763 MAIN ST,RESIDENTIAL A,"1,986",3763 MAIN ST LAND TR Fee Owner,"$708,343","$33,264",$0,$0.00,$0.00,$0.00
7827 MAIN ST,RESIDENTIAL A,"1,476",7827 MAIN ST LAND TR Fee Owner,"$702,655","$142,594",$0,$0.00,$0.00,$0.00
6934 MAIN ST,COMMERCIAL B,"3,707",6934 MAIN ST LAND TR Fee Owner,"$278,672","$144,982",$0,$0.00,$0.00,$0.00
8955 MAIN ST,RESIDENTIAL B,"5,437",8955 MAIN ST LAND TR Fee Owner,"$468,808","$120,430",$0,$0.00,$0.00,$0.00
8064 MAIN ST,COMMERCIAL A,"4,265",8064 MAIN ST LAND TR Fee Owner,"$518,093","$98,332",$0,$0.00,$0.00,$0.00
1743 MAIN ST,COMMERCIAL B,"3,709",1743 MAIN ST LAND TR Fee Owner,"$876,068","$157,152",$0,$0.00,$0.00,$0.00
9409 MAIN ST,COMMERCIAL B,"7,673",9409 MAIN ST LAND TR Fee Owner,"$866,845","$107,129",$0,$0.00,$0.00,$0.00
6157 MAIN ST,COMMERCIAL A,"9,217",6157 MAIN ST LAND TR Fee Owner,"$234,484","$40,687",$0,$0.00,$0.00,$0.00
7358 MAIN ST,RESIDENTIAL B,"1,118",7358 MAIN ST LAND TR Fee Owner,"$140,378","$90,423",$0,$0.00,$0.00,$0.00
6619 MAIN ST,RESIDENTIAL B,"4,859",6619 MAIN ST LAND TR Fee Owner,"$198,133","$88,657",$0,$0.00,$0.00,$0.00
9708 MAIN ST,RESIDENTIAL B,"2,307",9708 MAIN ST LAND TR Fee Owner,"$989,589","$184,058",$0,$0.00,$0.00,$0.00
1347 MAIN ST,COMMERCIAL A,"6,119",1347 MAIN ST LAND TR Fee Owner,"$276,651","$117,547",$0,$0.00,$0.00,$0.00
8455 MAIN ST,RESIDENTIAL A,"3,326",8455 MAIN ST LAND TR Fee Owner,"$195,618","$58,405",$0,$0.00,$0.00,$0.00
5488 MAIN ST,COMMERCIAL A,"9,551",5488 MAIN ST LAND TR Fee Owner,"$579,870","$191,515",$0,$0.00,$0.00,$0.00
6952 MAIN ST,RESIDENTIAL B,"7,673",6952 MAIN ST LAND TR Fee Owner,"$105,946","$39,500",$0,$0.00,$0.00,$0.00
3504 MAIN ST,RESIDENTIAL A,"8,635",3504 MAIN ST LAND TR Fee Owner,"$612,583","$156,123",$0,$0.00,$0.00,$0.00
9296 MAIN ST,RESIDENTIAL B,"8,242",9296 MAIN ST LAND TR Fee Owner,"$481,492","$161,001",$0,$0.00,$0.00,$0.00
2657 MAIN ST,COMMERCIAL A,"8,590",2657 MAIN ST LAND TR Fee Owner,"$191,343","$66,820",$0,$0.00,$0.00,$0.00
3622 MAIN ST,COMMERCIAL A,"1,277",3622 MAIN ST LAND TR Fee Owner,"$929,039","$77,147",$0,$0.00,$0.00,$0.00
8286 MAIN ST,COMMERCIAL B,"6,953",8286 MAIN ST LAND TR Fee Owner,"$429,138","$193,217",$0,$0.00,$0.00,$0.00
8137 MAIN ST,COMMERCIAL B,"7,187",8137 MAIN ST LAND TR Fee Owner,"$600,537","$107,105",$0,$0.00,$0.00,$0.00
8940 MAIN ST,RESIDENTIAL A,"3,750",8940 MAIN ST LAND TR Fee Owner,"$720,356","$152,284",$0,$0.00,$0.00,$0.00
